 format: day,day,2020,2021,2022
1,1,0,1.5,0
1,1,0,0.5,0
1,1,15,0,0
1,1,20.5,0,0
1,1,0,0.5,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0.5,0
1,1,0,2,0
1,1,4,1,0
1,1,6.5,1,0.5
1,1,0.5,0.5,1
1,1,0.5,0,2
1,1,0,0,4.5
1,1,0,0,4
1,1,0,0,4
1,1,0,0,0.5
1,1,0.5,0,0.5
1,1,0.5,0,0
1,1,0,0,0
1,1,1,0.5,0
2,2,0.5,0,0
2,2,4,0,0
2,2,0.5,0,0
2,2,5.5,0,0
2,2,4,0,0.5
2,2,0,0,1
2,2,4.5,0,0.5
2,2,3.5,0,1
2,2,0.5,0,11
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0.5
2,2,0,0,1
2,2,0,0,7
2,2,0,0,11.5
2,2,0,0,3.5
2,2,1,0,3.5
2,2,13,0,1
2,2,8,0,7
2,2,1.5,0,18
2,2,11,0,1.5
2,2,0,0,4
2,2,6,0,9.5
2,2,1,0,0
3,3,3.5,0,0
3,3,0,0,0
3,3,0.5,0,0
3,3,0,0,0
3,3,0.5,0,0
3,3,0,0,0
3,3,2,0,0
3,3,0,0,0
3,3,0,0,0
3,3,7.5,0,0
3,3,8.5,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0.5
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0.5,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0.5,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,2,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0.5,0,0
4,4,1,0,0
4,4,0.5,0,0
5,5,0.5,0,0
5,5,0,0,0
5,5,0.5,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,1,0,0
5,5,1,0,0
5,5,0,0,0
5,5,0.5,0,0
5,5,0.5,0,0
5,5,0,0,0
5,5,0.5,0,0
5,5,7.5,0,0
5,5,4.5,0,0
5,5,5.5,0,0
5,5,7,0,0
5,5,12.5,0,0
5,5,21.5,0,0
5,5,19,0,0
5,5,14.5,0,0
5,5,0.5,0,0
5,5,1,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0.5
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,2
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,1
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0
7,7,0,0,0.5
7,7,0,0,0.5
7,7,0,0,0
7,7,0,0,0.5
8,8,0,0,0
8,8,0,0,0
8,8,1,0,3
8,8,0,0,55
8,8,0.5,0,2
8,8,0,0,1.5
8,8,0,0,14.5
8,8,0,6.5,0
8,8,0,0,27
8,8,0,0.5,0.5
8,8,0.5,0.5,83.5
8,8,6.5,0,22.1
8,8,5,0,51
8,8,2,0,16
8,8,0,0,2.5
8,8,0,0,0
8,8,0,0,15.5
8,8,1.5,0,11
8,8,0,0,10.5
8,8,0,0,0.5
8,8,1.5,0,2
8,8,0.5,0,0
8,8,6.5,0,0
8,8,1.5,0,0
9,9,1,0,-1
9,9,4.5,0,2
9,9,2,0,10.5
9,9,4.5,0,9.5
9,9,18.5,0,3.5
9,9,3.5,0,1
9,9,1,0,0
9,9,0.5,0,1.5
9,9,1,0,18
9,9,0,0,5
9,9,0,0,8.5
9,9,0,0,11.5
9,9,0,0,0.5
9,9,0,0,12.5
9,9,0,0,6
9,9,0,0,9
9,9,0,0,0
9,9,0,0,0.5
9,9,1,0,0
9,9,0,0,0
9,9,0,0,0
9,9,0,-1,0
9,9,1,0,0
9,9,0.5,0,0
10,10,0,0,0
10,10,0,0,0
10,10,0,0,0
10,10,0,0,0
10,10,0,-1,0
10,10,1,0,0
10,10,13.5,0,0
10,10,9,0,0
10,10,0.5,0,0
10,10,0,0,0
10,10,0,0,0
10,10,0,0,0
10,10,1,0,0.5
10,10,12,0,1.5
10,10,7,0,0
10,10,6.5,0,0.5
10,10,8,0,4.5
10,10,2.5,0,1
10,10,7.5,0,19.5
10,10,14,0,22.5
10,10,26.5,0,1.5
10,10,18.5,0,0.5
10,10,7.5,0,0
10,10,1.5,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0.5
11,11,0,1.5,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
11,11,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,21,0
12,12,0,3,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
12,12,0,0,0
13,13,0,0,0
13,13,0,0,0.5
13,13,0,0,1
13,13,0,0,1.5
13,13,0,0,0.5
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
13,13,0,0,0
14,14,0,0,0
14,14,0,0,0
14,14,0,0,0
14,14,0,0,0
14,14,0,0,0
14,14,0,0,0
14,14,0,0,0
14,14,0,0,0.5
14,14,0,0,0
14,14,0,0,0
14,14,0,0,0
14,14,0,0,0
14,14,0,0,0
14,14,0,0,0
14,14,0.5,0,0
14,14,0,0,0
14,14,2,0,0
14,14,1,0,0
14,14,0.5,0,0
14,14,20,0,0
14,14,14.5,0,0
14,14,4,0,0
14,14,0.5,0,0
14,14,1,0,0
15,15,0,0,0
15,15,1.5,0,0
15,15,5,0,0
15,15,0,0,0
15,15,2,0,0
15,15,0.5,0,0
15,15,0,0,0
15,15,0,0,0
15,15,0,0,1
15,15,0,0,0
15,15,0,0,0
15,15,0,0,0.5
15,15,0,0,0
15,15,0,0,0
15,15,0,0,0
15,15,0,0,0
15,15,0,0,0
15,15,0,0,0
15,15,0,0,0
15,15,0,0,0
15,15,0,0,0
15,15,0,0,0
15,15,0,0,0
15,15,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
16,16,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,10.5,0
17,17,0,28.5,0
17,17,0,2.5,0
17,17,0,5.5,0
17,17,0,4,0
17,17,0,0.5,0
17,17,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,0,0
17,17,0,9.5,0
17,17,0,2.5,0
18,18,0,0.5,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,0
18,18,0,0,-1
19,19,0,0,0
19,19,0,0,0
19,19,0,0,0
19,19,0,0,0
19,19,0,0,4.5
19,19,0,0,22.5
19,19,0,0,0.5
19,19,0,0,0
19,19,0,0,5
19,19,0,0,0.5
19,19,0,0,3.5
19,19,0,0,0.5
19,19,0,0,0.5
19,19,0,0,0
19,19,0,0,0
19,19,0,0,0
19,19,0,0,0
19,19,0,0,0
19,19,0,0,0
19,19,0,0,0
19,19,0,0,0
19,19,0,0,0
19,19,0,0,0
19,19,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,0,0
20,20,0,1.5,0
21,21,0,5.5,0
21,21,0,9,0
21,21,0,15.5,0
21,21,0.5,19.5,0
21,21,0,0.5,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,1,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
21,21,0,0,0
22,22,0,0,0
22,22,0,0,0
22,22,0,0,0
22,22,7,0,0
22,22,3,0,0
22,22,0.5,0,0
22,22,2.5,0,0
22,22,16.5,0,0
22,22,0.5,0,0
22,22,2.5,0,0
22,22,0,0,0.5
22,22,0,0,1
22,22,0,0,0
22,22,0,0,0
22,22,0,0,0.5
22,22,0,0,0
22,22,0,0,0.5
